ESRI_PK,year,district,rape,pop_total,pop_femal,sec_fac,safe_return_use
6,2019,종로구,238,161869,83654,26,10097
11,2019,중구,195,136488,69665,20,12658
24,2019,용산구,272,245185,125586,13,9238
20,2019,성동구,133,308979,158118,16,17510
13,2019,광진구,273,366972,190055,13,6099
2,2019,동대문구,168,363023,184533,21,20776
8,2019,중랑구,138,402024,203018,18,14696
17,2019,성북구,176,454744,235645,26,16836
7,2019,강북구,176,317695,163057,15,18282
0,2019,도봉구,90,335631,171670,10,12602
18,2019,노원구,184,537303,277493,18,10838
1,2019,은평구,194,484546,251186,22,10145
21,2019,서대문구,175,323171,169956,13,11164
14,2019,마포구,495,385925,204622,16,10494
22,2019,양천구,127,462285,235266,17,8393
10,2019,강서구,306,598273,308582,13,9145
5,2019,구로구,226,439371,219769,17,15233
4,2019,금천구,153,251820,122866,13,17946
23,2019,영등포구,356,400986,200000,16,10700
3,2019,동작구,251,408912,211206,18,18766
15,2019,관악구,408,517334,258140,20,15730
16,2019,서초구,616,435107,226926,21,43556
9,2019,강남구,666,550209,286864,23,6306
19,2019,송파구,273,682741,352329,21,9309
12,2019,강동구,180,440390,223052,17,14436
