ESRI_PK,year,district,crime,pop_total,pop_femal,sec_fac,safe_return_use
6,2017,종로구,4057,164257,84163,25,3789
11,2017,중구,4184,134593,68256,21,11110
24,2017,용산구,4060,244444,125021,13,8461
20,2017,성동구,2767,312711,158634,16,18766
13,2017,광진구,4646,372298,191653,12,6183
2,2017,동대문구,3975,366011,184826,22,13704
8,2017,중랑구,4571,412780,207655,19,8001
17,2017,성북구,3434,455407,234304,26,13486
7,2017,강북구,3393,328002,167750,16,17368
0,2017,도봉구,1999,346234,176681,11,11499
18,2017,노원구,4209,558075,287050,20,10474
1,2017,은평구,3883,491202,252979,22,14350
21,2017,서대문구,3113,325028,169778,13,12226
14,2017,마포구,5278,385783,202535,18,3080
22,2017,양천구,3882,475018,240739,18,8224
10,2017,강서구,5135,608255,312080,13,8572
5,2017,구로구,4895,441559,220173,18,16171
4,2017,금천구,3265,253491,123716,13,18509
23,2017,영등포구,5969,402024,199624,16,11568
3,2017,동작구,3330,408493,209666,18,19935
15,2017,관악구,5525,520929,258923,21,15918
16,2017,서초구,4708,445401,231979,21,34498
9,2017,강남구,7720,561052,292111,26,6863
19,2017,송파구,5576,671173,344766,22,11019
12,2017,강동구,4261,440359,221660,18,18930
