ESRI_PK,year,district,crime,pop_total,pop_femal,sec_fac,safe_return_use
6,2018,종로구,3690,163026,83870,25,1438
11,2018,중구,4030,135633,68959,21,11931
24,2018,용산구,3411,245090,125324,13,8979
20,2018,성동구,2457,316463,161372,16,19584
13,2018,광진구,3915,371063,191536,13,6206
2,2018,동대문구,3680,364338,184564,21,15771
8,2018,중랑구,4288,408147,205699,18,10163
17,2018,성북구,3042,447687,231192,26,14427
7,2018,강북구,3437,322915,165393,15,18446
0,2018,도봉구,2249,341649,174606,10,10491
18,2018,노원구,4007,548160,282290,19,9695
1,2018,은평구,3590,487666,252066,22,14910
21,2018,서대문구,2802,323080,169264,13,10469
14,2018,마포구,5172,386359,203786,18,4677
22,2018,양천구,3515,468145,237688,16,9083
10,2018,강서구,4629,603611,310322,13,10291
5,2018,구로구,4810,438486,218537,17,14179
4,2018,금천구,3293,254021,123623,13,18343
23,2018,영등포구,5840,403600,200281,16,10920
3,2018,동작구,3100,409385,210927,18,18431
15,2018,관악구,5026,520040,259298,20,16706
16,2018,서초구,4726,438163,228186,21,51088
9,2018,강남구,7513,547453,285250,25,8793
19,2018,송파구,5807,673507,346658,21,9401
12,2018,강동구,3919,431920,218067,17,16740
